#,Subject,0,Item,0,Condition,0,Word,#,#,#,#,RT,#,#
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,176,0,Filler,68,6,kivett,szebbŽ,1,yes,1765,"Nyilv‡nval— volt, hogy a kalauz hirtelen kivett szabads‡g‡nak h‡tterŽben csal‡di problŽm‡k vannak.",1765
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,176,0,Filler,68,7,szabads‡g‡nak,megsŽrtŽsŽnek,0,yes,1547,"Nyilv‡nval— volt, hogy a kalauz hirtelen kivett szabads‡g‡nak h‡tterŽben csal‡di problŽm‡k vannak.",1547
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,176,0,Filler,68,8,h‡tterŽben,rengeteget,1,yes,1402,"Nyilv‡nval— volt, hogy a kalauz hirtelen kivett szabads‡g‡nak h‡tterŽben csal‡di problŽm‡k vannak.",1402
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,176,0,Filler,68,9,csal‡di,egykori,1,yes,1144,"Nyilv‡nval— volt, hogy a kalauz hirtelen kivett szabads‡g‡nak h‡tterŽben csal‡di problŽm‡k vannak.",1144
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,176,0,Filler,68,10,problŽm‡k,esetleges,0,yes,1019,"Nyilv‡nval— volt, hogy a kalauz hirtelen kivett szabads‡g‡nak h‡tterŽben csal‡di problŽm‡k vannak.",1019
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,176,0,Filler,68,11,vannak.,vŽgŽre.,0,yes,1460,"Nyilv‡nval— volt, hogy a kalauz hirtelen kivett szabads‡g‡nak h‡tterŽben csal‡di problŽm‡k vannak.",1460
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,0,A,x-x-x,0,yes,810,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",810
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,1,"dikt‡tor,","vŽgeztŸk,",0,yes,1173,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",1173
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,2,akit,Žvet,0,yes,790,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",790
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,3,a,‡,1,yes,704,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",704
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,4,szakad‡r,sz‡m‡hoz,1,yes,2345,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",2345
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,5,megut‡lt,fetrengj,0,yes,2146,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",2146
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,6,az,—n,0,yes,1809,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",1809
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,7,elmœlt,kir‡ly,1,yes,1311,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",1311
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,8,"h—napokban,","gyŸmšlcsšt,",0,yes,935,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",935
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,9,megr‡galmazta,ur‡nb‡ny‡szat,1,yes,1598,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",1598
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,10,a,—,1,yes,901,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",901
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,16,0,Expt-D,1,11,mŽdi‡t.,temp—t.,0,yes,1028,"A dikt‡tor, akit a szakad‡r megut‡lt az elmœlt h—napokban, megr‡galmazta a mŽdi‡t.",1028
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,0,KŽrdŽses,x-x-x,0,yes,628,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",628
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,1,"volt,","idei,",0,yes,858,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",858
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,2,hogy,hiba,0,yes,1233,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",1233
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,3,"kitud—dik-e,","kšzterein-e,",1,yes,1585,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",1585
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,4,hogy,lŽv_,0,yes,1439,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",1439
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,5,a,—,1,yes,947,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",947
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,6,bank‡r,‡pol—i,0,yes,1936,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",1936
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,7,megvesztegette,megbeteg’theti,1,yes,1810,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",1810
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,8,a,‡,0,yes,714,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",714
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,174,0,Filler,66,9,b’r—t.,kšhšg.,1,yes,1071,"KŽrdŽses volt, hogy kitud—dik-e, hogy a bank‡r megvesztegette a b’r—t.",1071
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,0,A,x-x-x,0,yes,898,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",898
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,1,"csapos,","t‡tong,",0,yes,1204,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",1204
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,2,aki,Žve,1,yes,669,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",669
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,3,a,‡,1,yes,846,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",846
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,4,vendŽget,fedezeti,1,yes,986,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",986
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,5,meglškte,puszival,1,yes,1119,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",1119
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,6,a,—,0,yes,966,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",966
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,7,pult,mibe,1,yes,841,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",841
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,8,"kšzelŽben,","biztos’t—,",1,yes,2534,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",2534
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,9,elejtett,kšszšnni,0,yes,1405,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",1405
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,10,egy,ami,1,yes,1034,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",1034
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,54,0,Expt-B,11,11,poharat.,kezdjek.,1,yes,1076,"A csapos, aki a vendŽget meglškte a pult kšzelŽben, elejtett egy poharat.",1076
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,0,Nyilv‡nval—,x-x-x,0,yes,578,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",578
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,1,"volt,","kŽne,",1,yes,856,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",856
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,2,hogy,vett,0,yes,785,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",785
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,3,a,‡,0,yes,665,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",665
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,4,hivatalnok,tŽnyez_vel,0,yes,1206,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",1206
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,5,h_sies,volnŽk,1,yes,1246,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",1246
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,6,tetteinek,j‡tŽkid_t,1,yes,1799,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",1799
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,7,kšszšnhet_en,informatikai,0,yes,1135,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",1135
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,8,fog,m’g,1,yes,2887,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",2887
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,9,ŽrdemŽrmet,kevesellte,1,yes,2735,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",2735
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,10,kapni,bŽcsi,0,yes,782,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",782
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,11,jšv_,c’me,1,yes,1290,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",1290
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,175,0,Filler,67,12,tavasszal.,kšltsŽgek.,1,yes,766,"Nyilv‡nval— volt, hogy a hivatalnok h_sies tetteinek kšszšnhet_en fog ŽrdemŽrmet kapni jšv_ tavasszal.",766
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,0,Az,x-x-x,0,yes,546,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",546
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,1,"ŸgyvŽd,","‡lltak,",0,yes,1404,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",1404
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,2,aki,tŽr,0,yes,1090,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",1090
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,3,aj‡nlotta,szeretŸnk,0,yes,1447,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",1447
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,4,a,—,1,yes,650,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",650
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,5,kšzjegyz_t,b‡natunkat,0,yes,1120,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",1120
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,6,a,_,0,yes,805,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",805
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,7,t‡rgyal‡sra,tranzakci—t,0,yes,1638,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",1638
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,8,"kŽszŸlve,","nyomokat,",0,yes,1549,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",1549
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,9,megszervezte,‡llap’tottak,0,yes,2390,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",2390
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,10,a,‡,0,yes,600,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",600
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,97,0,Expt-A,22,11,tal‡lkoz—t.,šsszegeket.,0,yes,1169,"Az ŸgyvŽd, aki aj‡nlotta a kšzjegyz_t a t‡rgyal‡sra kŽszŸlve, megszervezte a tal‡lkoz—t.",1169
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,0,"Az,","x-x-x,",0,yes,732,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",732
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,1,hogy,dŽli,1,yes,1044,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1044
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,2,Rita,Tahi,0,yes,1261,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1261
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,3,a,_,1,yes,803,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",803
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,4,le‡raz‡son,odaŽrjenek,0,yes,1446,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1446
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,5,csak,Žvig,0,yes,1632,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1632
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,6,m‡rk‡s,œjfent,0,yes,940,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",940
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,7,ruh‡kat,el_’r‡s,1,yes,813,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",813
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,8,"vett,","Žven,",0,yes,702,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",702
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,9,teljes,ŸgyfŽl,0,yes,1505,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1505
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,10,mŽrtŽkben,tal‡lhat—,1,yes,1136,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1136
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,11,kisz‡m’that—,felel_ssŽgŽt,0,yes,1231,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1231
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,147,0,Filler,39,12,volt.,Žven.,1,yes,736,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",736
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,0,A,x-x-x,0,yes,616,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",616
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,1,"bœv‡r,","‡br‡t,",0,yes,2043,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",2043
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,2,akit,c’m_,1,yes,650,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",650
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,3,megijesztett,nyelvismeret,0,yes,1043,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",1043
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,4,az,se,1,yes,835,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",835
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,5,œsz—,red_,0,yes,1268,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",1268
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,6,egy,j—t,1,yes,4427,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",4427
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,7,nagy,kšzŽ,1,yes,1877,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",1877
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,8,"medencŽben,","fŽnyforr‡s,",1,yes,988,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",988
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,9,felh‡bor’totta,csoportos’t‡st,1,yes,1274,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",1274
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,10,az,ki,1,yes,741,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",741
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,123,0,Expt-C,28,11,œsz—mestert.,gazdas‡g‡v‡.,1,yes,1316,"A bœv‡r, akit megijesztett az œsz— egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",1316
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,0,Annak,x-x-x,0,yes,964,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",964
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,1,a,_,1,yes,549,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",549
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,2,"lehet_sŽge,","klasszikus,",0,yes,774,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",774
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,3,hogy,c’m_,0,yes,573,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",573
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,4,a,—,1,yes,574,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",574
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,5,sz’nŽszn_,l‡that—an,0,yes,923,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",923
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,6,a,‡,0,yes,909,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",909
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,7,darab,amint,1,yes,1053,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1053
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,8,ut‡n,Žvig,0,yes,826,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",826
,,,,,,,,,,,,,,
1744209264,805b625fa6c799c6e397d6975a74b06b,Maze,163,0,Filler,55,9,autogramokat,felvŽtelŽŽrt,1,yes,1149,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1149
,,,,,,,,,,,,,,
